buying,maintanance,doors,persons,luggage_boot,saftey
low,v-high,2,2,small,low
low,v-high,4,3,big,medium
low,v-high,4,4,big,medium
low,v-high,4,2,big,medium
low,v-high,4,3,big,medium
low,v-high,4,5,medium,medium
low,v-high,4,5,medium,medium
low,v-high,4,5,small,medium
low,medium,4,5,small,medium
low,high,5,5,small,medium
low,high,5,5,small,medium
low,high,MORE,5,small,medium
low,high,5,5,small,medium
low,high,5,5,small,medium
low,high,5,5,small,high
low,high,5,5,small,high
v-high,high,5,5,small,high
v-high,low,5,7,small,high
v-high,low,5,7,small,high
v-high,high,5,7,small,high
v-high,high,4,7,small,high
v-high,high,4,7,medium,high
v-high,high,4,8,medium,high
v-high,high,4,8,medium,high
medium,high,4,8,medium,high
high,high,4,NA,medium,high
high,high,4,NA,medium,high
high,high,4,NA,medium,high
high,high,4,NA,medium,high
high,high,4,NA,medium,high
high,high,4,8,medium,high
high,high,4,8,medium,high
high,high,4,8,big,high
low,high,4,8,big,high
low,high,4,8,big,high
high,high,4,3,big,high
high,high,4,2,big,high
high,high,4,2,big,high
high,high,4,2,big,high
low,high,4,2,big,high
low,high,4,2,big,high
low,high,4,2,big,high
low,high,4,5,big,high
low,high,4,5,big,high
low,high,4,5,big,high
low,low,4,5,big,high
low,low,4,5,big,high
medium,low,4,5,big,high
medium,low,4,5,big,high
medium,low,4,5,big,high
low,low,4,5,big,high
low,low,4,5,big,high
low,low,4,5,big,high
low,low,4,5,big,high
low,low,4,5,big,high
low,low,4,5,big,high
low,low,4,5,big,high
low,low,4,5,big,high
low,low,4,5,big,high
low,low,4,5,big,high
low,low,4,4,big,high
